pred,obs,E,S
S,S,0.456,0.544
E,S,0.758,0.242
S,S,0.084,0.916
S,S,0.334,0.666
S,S,0.232,0.768
E,S,0.752,0.248
S,S,0.422,0.578
E,S,0.578,0.422
E,S,0.698,0.302
S,E,0.434,0.566
E,E,0.62,0.38
E,E,0.996,0.004
E,E,0.994,0.006
E,E,0.88,0.12
E,E,0.98,0.02
E,E,1,0
E,E,0.84,0.16
E,E,1,0
E,E,0.924,0.076
E,E,0.844,0.156
E,E,0.986,0.014
E,E,0.99,0.01
E,E,0.796,0.204
E,E,1,0
E,E,0.822,0.178
E,E,0.908,0.092
E,E,0.844,0.156
E,E,0.988,0.012
E,E,0.85,0.15
S,E,0.31,0.69
E,E,0.984,0.016
E,E,0.942,0.058
E,E,0.98,0.02
E,E,0.892,0.108
E,E,0.768,0.232
E,E,0.798,0.202
E,E,0.928,0.072
E,E,0.986,0.014
E,E,0.914,0.086
E,E,0.874,0.126
E,E,0.932,0.068
