class,prediction
0,0.342116642440768
0,5.11484149527671e-08
0,0.333333333333385
0,2.22044604925031e-16
0,0.999609102324648
0,1
0,2.22044604925031e-16
0,1
0,0.666666666283871
0,0.666666685977226
0,0.333333333315211
0,0.333333332454405
0,2.22044604925031e-16
0,0.666625064539065
0,2.22044604925031e-16
0,0.333278028174524
0,1
0,2.22044604925031e-16
0,0.666666587811919
0,0.0220165148365176
0,0.66666444096775
0,0.666666659372017
0,0.33333333332086
0,2.22044604925031e-16
0,2.22044604925031e-16
0,0.666666666895849
0,0.666666666666667
0,1
0,1
0,0.333333333333333
0,2.22044604925031e-16
0,2.22044604925031e-16
0,2.22044604925031e-16
0,2.22044604925031e-16
0,3.96935093491671e-08
0,0.666666666682067
0,2.22044604925031e-16
0,1
0,1
0,2.22044604925031e-16
0,0.333333333333333
0,1
0,2.22044604925031e-16
0,2.22044604925031e-16
0,0.000280202994193353
0,1
0,0.666666666666667
0,0.666666666666667
0,1
0,0.666666666689018
0,0.666666666668938
0,2.22044604925031e-16
0,0.33577435538722
0,2.22044604925031e-16
0,0.333333333724934
0,0.999361730953538
0,2.22044604925031e-16
0,0.333333347773913
0,0.666666666666593
0,2.7355698941935e-12
0,2.22044604925031e-16
0,2.22044604925031e-16
0,0.626945366364028
0,0.333333333333221
0,0.333333333333333
0,1
0,2.22044604925031e-16
0,0.333333333351642
0,2.22044604925031e-16
0,0.332878341128596
0,2.22044604925031e-16
0,0.665033297004668
0,2.22044604925031e-16
0,0.666666572509962
0,0.000193394148344849
0,2.22044604925031e-16
0,2.22044604925031e-16
0,0.33333327772877
0,1
0,2.22044604925031e-16
0,1
0,0.0303048797599829
0,2.22044604925031e-16
0,0.994540642249672
0,0.328330736461877
0,2.22044604925031e-16
0,0.333333333333333
0,2.22044604925031e-16
0,2.22044604925031e-16
0,2.22044604925031e-16
0,0.306207938600732
0,1
0,2.22044604925031e-16
0,1
0,2.22044604925031e-16
0,1
0,0.666666666666667
0,0.33247098797221
0,1
0,0.999999997450363
0,2.22044604925031e-16
1,0.333333333339083
1,0.666666666666667
1,0.333333333333333
1,2.22044604925031e-16
1,0.333333333333333
1,1
1,0.333333333333333
1,2.22044604925031e-16
1,0.666666666666667
1,2.22044604925031e-16
1,1
1,1
1,2.22044604925031e-16
1,2.22044604925031e-16
1,0.999999987692879
1,1
1,1
1,2.22044604925031e-16
1,1
1,0.696315082505452
1,0.14225790723725
1,1
1,2.58696009149553e-05
1,2.22044604925031e-16
1,1
1,0.66666666666675
1,0.333333333333333
1,2.74229211823701e-06
1,0.670464493317579
1,1
1,0.66666666666466
1,1
1,0.333333333333333
1,0.999999999999206
1,1
1,0.33333296392319
1,2.22044604925031e-16
1,0.666764762382596
1,0.666666666666667
1,0.565607784395404
1,1
1,0.666666666666667
1,1
1,0.666666666666667
1,0.333333333333333
1,0.666666666666667
1,1
1,1
1,0.333333333215783
1,1
1,1
1,0.333333333333333
1,1
1,1
1,1
1,1
1,1
1,2.22044604925031e-16
1,1
1,0.999999977221526
1,1
1,0.333333333333333
1,0.999999999994013
1,1
1,1
1,0.999999987902653
1,2.22044604925031e-16
1,2.22044604925031e-16
1,0.967427824652676
1,0.999999999879417
1,0.666666666666667
1,1
1,1
1,2.22044604925031e-16
1,1
1,0.99999999999702
1,2.22044604925031e-16
1,0.999998934235691
1,0.666666666666667
1,1
1,0.666657050054577
1,0.333322656765249
1,0.00654030852232898
1,1
