pred,obs,N,S,rowIndex,parameter,Resample
N,N,0.695704641744157,0.304295358255843,8,none,Fold01.Rep1
N,N,0.695704641744157,0.304295358255843,9,none,Fold01.Rep1
S,N,0.447037452555283,0.552962547444717,26,none,Fold01.Rep1
N,N,0.533419317904946,0.466580682095054,27,none,Fold01.Rep1
N,N,0.695704641744157,0.304295358255843,33,none,Fold01.Rep1
N,N,0.617842710816279,0.382157289183721,40,none,Fold01.Rep1
N,N,0.617842710816279,0.382157289183721,47,none,Fold01.Rep1
N,N,0.644719997347316,0.355280002652684,51,none,Fold01.Rep1
N,N,0.504592024648916,0.495407975351084,69,none,Fold01.Rep1
S,N,0.475734168196969,0.524265831803031,74,none,Fold01.Rep1
N,N,0.695704641744157,0.304295358255843,86,none,Fold01.Rep1
N,S,0.644719997347316,0.355280002652684,115,none,Fold01.Rep1
S,S,0.418689327590547,0.581310672409453,118,none,Fold01.Rep1
N,S,0.504592024648916,0.495407975351084,134,none,Fold01.Rep1
N,S,0.504592024648916,0.495407975351084,138,none,Fold01.Rep1
S,S,0.390868161864324,0.609131838135676,140,none,Fold01.Rep1
S,S,0.418689327590547,0.581310672409453,156,none,Fold01.Rep1
N,S,0.504592024648916,0.495407975351084,164,none,Fold01.Rep1
S,S,0.390868161864324,0.609131838135676,171,none,Fold01.Rep1
S,S,0.447037452555283,0.552962547444717,176,none,Fold01.Rep1
N,N,0.545213843674034,0.454786156325966,4,none,Fold02.Rep1
S,N,0.384515606913007,0.615484393086993,5,none,Fold02.Rep1
S,N,0.346746973718152,0.653253026281848,6,none,Fold02.Rep1
N,N,0.624158952343975,0.375841047656025,7,none,Fold02.Rep1
S,N,0.423729664315392,0.576270335684608,14,none,Fold02.Rep1
N,N,0.66154407961431,0.33845592038569,19,none,Fold02.Rep1
N,N,0.585233393761633,0.414766606238367,60,none,Fold02.Rep1
N,N,0.545213843674034,0.454786156325966,79,none,Fold02.Rep1
N,N,0.545213843674034,0.454786156325966,97,none,Fold02.Rep1
N,N,0.697015658186877,0.302984341813123,103,none,Fold02.Rep1
N,S,0.730285338899546,0.269714661100454,111,none,Fold02.Rep1
N,S,0.78950740411619,0.21049259588381,116,none,Fold02.Rep1
S,S,0.463928470508736,0.536071529491264,144,none,Fold02.Rep1
N,S,0.545213843674034,0.454786156325966,152,none,Fold02.Rep1
N,S,0.545213843674034,0.454786156325966,165,none,Fold02.Rep1
S,S,0.423729664315392,0.576270335684608,170,none,Fold02.Rep1
S,S,0.346746973718152,0.653253026281848,181,none,Fold02.Rep1
S,S,0.423729664315392,0.576270335684608,193,none,Fold02.Rep1
N,S,0.545213843674034,0.454786156325966,199,none,Fold02.Rep1
S,S,0.346746973718152,0.653253026281848,202,none,Fold02.Rep1
N,N,0.536366931985996,0.463633068014004,10,none,Fold03.Rep1
N,N,0.638123805201411,0.361876194798589,22,none,Fold03.Rep1
S,N,0.466231896782075,0.533768103217925,25,none,Fold03.Rep1
S,N,0.466231896782075,0.533768103217925,28,none,Fold03.Rep1
N,N,0.536366931985996,0.463633068014004,48,none,Fold03.Rep1
N,N,0.536366931985996,0.463633068014004,62,none,Fold03.Rep1
N,N,0.501305837743155,0.498694162256845,84,none,Fold03.Rep1
S,N,0.431488657904793,0.568511342095207,85,none,Fold03.Rep1
S,N,0.397406838574042,0.602593161425958,87,none,Fold03.Rep1
N,N,0.700196461901828,0.299803538098172,92,none,Fold03.Rep1
N,N,0.638123805201411,0.361876194798589,95,none,Fold03.Rep1
N,S,0.536366931985996,0.463633068014004,107,none,Fold03.Rep1
S,S,0.466231896782075,0.533768103217925,110,none,Fold03.Rep1
N,S,0.536366931985996,0.463633068014004,136,none,Fold03.Rep1
S,S,0.364292035597611,0.635707964402389,146,none,Fold03.Rep1
N,S,0.638123805201411,0.361876194798589,151,none,Fold03.Rep1
S,S,0.431488657904793,0.568511342095207,157,none,Fold03.Rep1
N,S,0.536366931985996,0.463633068014004,185,none,Fold03.Rep1
S,S,0.364292035597611,0.635707964402389,186,none,Fold03.Rep1
N,S,0.501305837743155,0.498694162256845,190,none,Fold03.Rep1
S,S,0.364292035597611,0.635707964402389,201,none,Fold03.Rep1
S,N,0.426038396915164,0.573961603084836,35,none,Fold04.Rep1
N,N,0.609216468644264,0.390783531355736,42,none,Fold04.Rep1
N,N,0.609216468644264,0.390783531355736,44,none,Fold04.Rep1
S,N,0.499697033879122,0.500302966120878,46,none,Fold04.Rep1
S,N,0.355521855664604,0.644478144335396,50,none,Fold04.Rep1
N,N,0.609216468644264,0.390783531355736,53,none,Fold04.Rep1
