pred,obs,N,S,rowIndex,mtry,Resample
N,N,0.924,0.076,70,2,Fold03.Rep1
S,N,0.226,0.774,80,2,Fold03.Rep1
S,S,0.358,0.642,108,2,Fold03.Rep1
S,S,0.094,0.906,114,2,Fold03.Rep1
S,S,0.094,0.906,132,2,Fold03.Rep1
N,S,0.554,0.446,147,2,Fold03.Rep1
N,S,0.626,0.374,173,2,Fold03.Rep1
N,S,0.748,0.252,180,2,Fold03.Rep1
N,S,0.75,0.25,190,2,Fold03.Rep1
N,S,0.978,0.022,196,2,Fold03.Rep1
N,S,0.75,0.25,199,2,Fold03.Rep1
N,S,0.94,0.06,204,2,Fold03.Rep1
S,N,0.364,0.636,2,2,Fold04.Rep1
N,N,0.946,0.054,17,2,Fold04.Rep1
N,N,0.642,0.358,26,2,Fold04.Rep1
N,N,0.548,0.452,34,2,Fold04.Rep1
S,N,0.328,0.672,42,2,Fold04.Rep1
N,N,0.742,0.258,44,2,Fold04.Rep1
N,N,0.61,0.39,54,2,Fold04.Rep1
N,N,0.656,0.344,75,2,Fold04.Rep1
S,N,0.026,0.974,90,2,Fold04.Rep1
S,N,0.02,0.98,91,2,Fold04.Rep1
S,N,0.328,0.672,98,2,Fold04.Rep1
N,S,0.642,0.358,128,2,Fold04.Rep1
N,S,0.656,0.344,130,2,Fold04.Rep1
S,S,0.364,0.636,134,2,Fold04.Rep1
N,S,0.656,0.344,153,2,Fold04.Rep1
N,S,0.61,0.39,158,2,Fold04.Rep1
S,S,0.094,0.906,164,2,Fold04.Rep1
N,S,0.946,0.054,165,2,Fold04.Rep1
N,S,0.946,0.054,166,2,Fold04.Rep1
N,S,0.508,0.492,178,2,Fold04.Rep1
N,S,0.946,0.054,183,2,Fold04.Rep1
N,N,0.88,0.12,12,2,Fold05.Rep1
N,N,0.848,0.152,19,2,Fold05.Rep1
S,N,0.32,0.68,20,2,Fold05.Rep1
S,N,0.356,0.644,27,2,Fold05.Rep1
N,N,0.88,0.12,41,2,Fold05.Rep1
S,N,0.374,0.626,45,2,Fold05.Rep1
S,N,0.4,0.6,55,2,Fold05.Rep1
N,N,0.714,0.286,62,2,Fold05.Rep1
S,N,0.356,0.644,66,2,Fold05.Rep1
S,N,0.064,0.936,67,2,Fold05.Rep1
N,N,0.724,0.276,83,2,Fold05.Rep1
N,S,0.872,0.128,141,2,Fold05.Rep1
S,S,0.332,0.668,145,2,Fold05.Rep1
S,S,0.064,0.936,148,2,Fold05.Rep1
S,S,0.064,0.936,154,2,Fold05.Rep1
N,S,0.982,0.018,161,2,Fold05.Rep1
S,S,0.356,0.644,162,2,Fold05.Rep1
S,S,0.356,0.644,171,2,Fold05.Rep1
S,S,0.184,0.816,181,2,Fold05.Rep1
N,S,0.714,0.286,194,2,Fold05.Rep1
N,S,0.714,0.286,205,2,Fold05.Rep1
N,N,0.588,0.412,1,2,Fold06.Rep1
N,N,0.804,0.196,4,2,Fold06.Rep1
N,N,0.642,0.358,5,2,Fold06.Rep1
N,N,0.518,0.482,21,2,Fold06.Rep1
N,N,0.518,0.482,58,2,Fold06.Rep1
N,N,0.804,0.196,72,2,Fold06.Rep1
N,N,0.804,0.196,85,2,Fold06.Rep1
N,N,0.966,0.034,89,2,Fold06.Rep1
N,N,0.53,0.47,95,2,Fold06.Rep1
N,N,0.53,0.47,104,2,Fold06.Rep1
N,N,0.53,0.47,105,2,Fold06.Rep1
N,S,0.718,0.282,107,2,Fold06.Rep1
N,S,0.518,0.482,118,2,Fold06.Rep1
N,S,0.642,0.358,122,2,Fold06.Rep1
N,S,0.654,0.346,138,2,Fold06.Rep1
N,S,0.568,0.432,139,2,Fold06.Rep1
S,S,0.454,0.546,168,2,Fold06.Rep1
N,S,0.568,0.432,184,2,Fold06.Rep1
S,S,0.166,0.834,186,2,Fold06.Rep1
N,S,0.718,0.282,188,2,Fold06.Rep1
N,S,0.672,0.328,191,2,Fold06.Rep1
N,N,0.952,0.048,6,2,Fold07.Rep1
N,N,0.532,0.468,14,2,Fold07.Rep1
S,N,0.396,0.604,23,2,Fold07.Rep1
N,N,0.558,0.442,52,2,Fold07.Rep1
N,N,0.558,0.442,69,2,Fold07.Rep1
N,N,0.952,0.048,82,2,Fold07.Rep1
N,N,0.506,0.494,84,2,Fold07.Rep1
S,N,0.254,0.746,97,2,Fold07.Rep1
N,N,0.558,0.442,103,2,Fold07.Rep1
S,N,0.424,0.576,106,2,Fold07.Rep1
N,S,0.996,0.004,115,2,Fold07.Rep1
S,S,0.396,0.604,120,2,Fold07.Rep1
S,S,0.424,0.576,125,2,Fold07.Rep1
N,S,0.558,0.442,126,2,Fold07.Rep1
S,S,0.17,0.83,133,2,Fold07.Rep1
S,S,0.302,0.698,136,2,Fold07.Rep1
N,S,0.702,0.298,143,2,Fold07.Rep1
N,S,0.558,0.442,163,2,Fold07.Rep1
S,S,0.35,0.65,174,2,Fold07.Rep1
S,S,0.424,0.576,185,2,Fold07.Rep1
N,N,0.522,0.478,16,2,Fold08.Rep1
S,N,0.27,0.73,18,2,Fold08.Rep1
S,N,0.028,0.972,32,2,Fold08.Rep1
N,N,0.726,0.274,37,2,Fold08.Rep1
S,N,0.27,0.73,50,2,Fold08.Rep1
S,N,0.038,0.962,65,2,Fold08.Rep1
S,N,0.346,0.654,76,2,Fold08.Rep1
S,N,0.27,0.73,92,2,Fold08.Rep1
S,N,0.454,0.546,99,2,Fold08.Rep1
N,N,0.954,0.046,100,2,Fold08.Rep1
N,S,0.874,0.126,109,2,Fold08.Rep1
N,S,0.726,0.274,123,2,Fold08.Rep1
S,S,0.27,0.73,124,2,Fold08.Rep1
N,S,0.978,0.022,127,2,Fold08.Rep1
N,S,0.67,0.33,144,2,Fold08.Rep1
S,S,0.496,0.504,149,2,Fold08.Rep1
N,S,0.538,0.462,150,2,Fold08.Rep1
S,S,0.27,0.73,170,2,Fold08.Rep1
S,S,0.322,0.678,189,2,Fold08.Rep1
S,S,0.028,0.972,201,2,Fold08.Rep1
N,N,0.74,0.26,9,2,Fold09.Rep1
N,N,0.556,0.444,11,2,Fold09.Rep1
S,N,0.43,0.57,13,2,Fold09.Rep1
N,N,0.942,0.058,29,2,Fold09.Rep1
S,N,0.48,0.52,31,2,Fold09.Rep1
S,N,0.43,0.57,43,2,Fold09.Rep1
S,N,0.292,0.708,59,2,Fold09.Rep1
N,N,0.946,0.054,61,2,Fold09.Rep1
S,N,0.43,0.57,88,2,Fold09.Rep1
N,N,0.942,0.058,96,2,Fold09.Rep1
N,S,0.942,0.058,112,2,Fold09.Rep1
S,S,0.48,0.52,113,2,Fold09.Rep1
N,S,0.852,0.148,117,2,Fold09.Rep1
N,S,0.842,0.158,121,2,Fold09.Rep1
N,S,0.518,0.482,135,2,Fold09.Rep1
S,S,0.3,0.7,137,2,Fold09.Rep1
N,S,0.842,0.158,142,2,Fold09.Rep1
S,S,0.48,0.52,146,2,Fold09.Rep1
S,S,0.43,0.57,151,2,Fold09.Rep1
S,S,0.48,0.52,182,2,Fold09.Rep1
S,N,0.386,0.614,8,2,Fold10.Rep1
S,N,0.212,0.788,15,2,Fold10.Rep1
N,N,0.932,0.068,24,2,Fold10.Rep1
S,N,0.346,0.654,33,2,Fold10.Rep1
S,N,0.346,0.654,46,2,Fold10.Rep1
S,N,0.212,0.788,47,2,Fold10.Rep1
S,N,0.212,0.788,48,2,Fold10.Rep1
N,N,0.78,0.22,56,2,Fold10.Rep1
S,N,0.212,0.788,73,2,Fold10.Rep1
N,N,0.78,0.22,86,2,Fold10.Rep1
N,N,0.602,0.398,94,2,Fold10.Rep1
S,S,0.15,0.85,110,2,Fold10.Rep1
S,S,0.388,0.612,152,2,Fold10.Rep1
S,S,0.212,0.788,157,2,Fold10.Rep1
N,S,0.512,0.488,172,2,Fold10.Rep1
S,S,0.346,0.654,176,2,Fold10.Rep1
S,S,0.086,0.914,187,2,Fold10.Rep1
N,S,0.716,0.284,192,2,Fold10.Rep1
N,S,0.716,0.284,195,2,Fold10.Rep1
N,S,0.602,0.398,197,2,Fold10.Rep1
S,S,0.212,0.788,202,2,Fold10.Rep1
S,N,0.32,0.68,2,2,Fold01.Rep2
N,N,0.888,0.112,19,2,Fold01.Rep2
S,N,0.28,0.72,21,2,Fold01.Rep2
N,N,0.578,0.422,39,2,Fold01.Rep2
N,N,0.534,0.466,52,2,Fold01.Rep2
S,N,0.28,0.72,62,2,Fold01.Rep2
S,N,0.024,0.976,67,2,Fold01.Rep2
S,N,0.416,0.584,81,2,Fold01.Rep2
N,N,0.798,0.202,83,2,Fold01.Rep2
S,N,0.28,0.72,84,2,Fold01.Rep2
N,N,0.54,0.46,99,2,Fold01.Rep2
S,S,0.342,0.658,108,2,Fold01.Rep2
S,S,0.416,0.584,120,2,Fold01.Rep2
S,S,0.32,0.68,134,2,Fold01.Rep2
N,S,0.544,0.456,150,2,Fold01.Rep2
S,S,0.024,0.976,154,2,Fold01.Rep2
N,S,0.86,0.14,155,2,Fold01.Rep2
N,S,0.7,0.3,160,2,Fold01.Rep2
N,S,0.798,0.202,165,2,Fold01.Rep2
S,S,0.154,0.846,181,2,Fold01.Rep2
N,S,0.54,0.46,195,2,Fold01.Rep2
N,N,0.938,0.062,6,2,Fold02.Rep2
S,N,0.498,0.502,14,2,Fold02.Rep2
N,N,0.956,0.044,29,2,Fold02.Rep2
N,N,0.956,0.044,35,2,Fold02.Rep2
N,N,0.602,0.398,43,2,Fold02.Rep2
S,N,0.254,0.746,50,2,Fold02.Rep2
N,N,0.938,0.062,70,2,Fold02.Rep2
S,N,0.422,0.578,75,2,Fold02.Rep2
S,N,0.14,0.86,90,2,Fold02.Rep2
S,N,0.254,0.746,92,2,Fold02.Rep2
S,N,0.25,0.75,97,2,Fold02.Rep2
N,S,0.956,0.044,112,2,Fold02.Rep2
N,S,1,0,115,2,Fold02.Rep2
S,S,0.14,0.86,132,2,Fold02.Rep2
S,S,0.14,0.86,133,2,Fold02.Rep2
S,S,0.254,0.746,162,2,Fold02.Rep2
N,S,0.602,0.398,163,2,Fold02.Rep2
S,S,0.226,0.774,164,2,Fold02.Rep2
S,S,0.226,0.774,167,2,Fold02.Rep2
S,S,0.226,0.774,201,2,Fold02.Rep2
N,S,0.526,0.474,202,2,Fold02.Rep2
N,N,0.718,0.282,13,2,Fold03.Rep2
S,N,0.3,0.7,33,2,Fold03.Rep2
S,N,0.352,0.648,36,2,Fold03.Rep2
N,N,0.746,0.254,44,2,Fold03.Rep2
S,N,0.3,0.7,55,2,Fold03.Rep2
S,N,0.106,0.894,59,2,Fold03.Rep2
S,N,0.106,0.894,64,2,Fold03.Rep2
N,N,0.54,0.46,68,2,Fold03.Rep2
S,N,0.3,0.7,76,2,Fold03.Rep2
S,N,0.034,0.966,102,2,Fold03.Rep2
N,N,0.844,0.156,105,2,Fold03.Rep2
S,S,0.3,0.7,143,2,Fold03.Rep2
N,S,0.54,0.46,149,2,Fold03.Rep2
N,S,0.718,0.282,151,2,Fold03.Rep2
N,S,0.718,0.282,158,2,Fold03.Rep2
N,S,0.844,0.156,166,2,Fold03.Rep2
S,S,0.37,0.63,174,2,Fold03.Rep2
N,S,0.74,0.26,175,2,Fold03.Rep2
S,S,0.3,0.7,176,2,Fold03.Rep2
N,S,0.54,0.46,178,2,Fold03.Rep2
S,S,0.352,0.648,182,2,Fold03.Rep2
N,N,0.542,0.458,11,2,Fold04.Rep2
S,N,0.332,0.668,18,2,Fold04.Rep2
S,N,0.414,0.586,30,2,Fold04.Rep2
N,N,0.538,0.462,37,2,Fold04.Rep2
S,N,0.366,0.634,47,2,Fold04.Rep2
S,N,0.414,0.586,53,2,Fold04.Rep2
N,N,0.872,0.128,57,2,Fold04.Rep2
N,N,0.998,0.002,61,2,Fold04.Rep2
S,N,0.064,0.936,65,2,Fold04.Rep2
N,N,0.534,0.466,103,2,Fold04.Rep2
S,N,0.332,0.668,106,2,Fold04.Rep2
S,S,0.064,0.936,110,2,Fold04.Rep2
S,S,0.332,0.668,113,2,Fold04.Rep2
S,S,0.332,0.668,125,2,Fold04.Rep2
S,S,0.346,0.654,137,2,Fold04.Rep2
N,S,0.96,0.04,183,2,Fold04.Rep2
N,S,0.514,0.486,188,2,Fold04.Rep2
N,S,0.96,0.04,190,2,Fold04.Rep2
S,S,0.414,0.586,192,2,Fold04.Rep2
N,S,0.998,0.002,198,2,Fold04.Rep2
N,S,0.96,0.04,199,2,Fold04.Rep2
