pred,obs,N,S,rowIndex,mtry,Resample
N,N,0.504,0.496,21,2,Fold07.Rep3
N,N,0.542,0.458,27,2,Fold07.Rep3
S,N,0.348,0.652,33,2,Fold07.Rep3
N,N,0.51,0.49,34,2,Fold07.Rep3
N,N,0.542,0.458,36,2,Fold07.Rep3
N,N,0.508,0.492,54,2,Fold07.Rep3
S,N,0.386,0.614,71,2,Fold07.Rep3
S,N,0.336,0.664,73,2,Fold07.Rep3
S,N,0.036,0.964,74,2,Fold07.Rep3
S,N,0.304,0.696,75,2,Fold07.Rep3
S,N,0.304,0.696,77,2,Fold07.Rep3
S,S,0.088,0.912,111,2,Fold07.Rep3
N,S,0.542,0.458,113,2,Fold07.Rep3
N,S,0.88,0.12,117,2,Fold07.Rep3
N,S,0.542,0.458,125,2,Fold07.Rep3
S,S,0.172,0.828,132,2,Fold07.Rep3
N,S,0.542,0.458,134,2,Fold07.Rep3
S,S,0.332,0.668,136,2,Fold07.Rep3
N,S,1,0,177,2,Fold07.Rep3
N,S,0.542,0.458,182,2,Fold07.Rep3
N,S,0.858,0.142,199,2,Fold07.Rep3
S,N,0.402,0.598,11,2,Fold08.Rep3
N,N,0.634,0.366,13,2,Fold08.Rep3
N,N,0.576,0.424,16,2,Fold08.Rep3
S,N,0.414,0.586,20,2,Fold08.Rep3
N,N,0.972,0.028,25,2,Fold08.Rep3
S,N,0.43,0.57,31,2,Fold08.Rep3
N,N,0.718,0.282,44,2,Fold08.Rep3
S,N,0.402,0.598,62,2,Fold08.Rep3
N,N,0.92,0.08,85,2,Fold08.Rep3
S,N,0.222,0.778,90,2,Fold08.Rep3
N,S,0.628,0.372,116,2,Fold08.Rep3
S,S,0.222,0.778,133,2,Fold08.Rep3
S,S,0.222,0.778,156,2,Fold08.Rep3
N,S,0.634,0.366,158,2,Fold08.Rep3
S,S,0.078,0.922,159,2,Fold08.Rep3
S,S,0.43,0.57,168,2,Fold08.Rep3
S,S,0.43,0.57,171,2,Fold08.Rep3
S,S,0.222,0.778,181,2,Fold08.Rep3
N,S,0.548,0.452,193,2,Fold08.Rep3
S,S,0.414,0.586,202,2,Fold08.Rep3
N,N,0.972,0.028,12,2,Fold09.Rep3
S,N,0.342,0.658,23,2,Fold09.Rep3
S,N,0.046,0.954,51,2,Fold09.Rep3
S,N,0.394,0.606,52,2,Fold09.Rep3
S,N,0.254,0.746,64,2,Fold09.Rep3
S,N,0.394,0.606,88,2,Fold09.Rep3
N,N,0.958,0.042,89,2,Fold09.Rep3
S,N,0.394,0.606,94,2,Fold09.Rep3
S,N,0.394,0.606,103,2,Fold09.Rep3
N,N,0.708,0.292,104,2,Fold09.Rep3
S,S,0.172,0.828,110,2,Fold09.Rep3
N,S,0.756,0.244,128,2,Fold09.Rep3
N,S,0.766,0.234,153,2,Fold09.Rep3
N,S,0.718,0.282,160,2,Fold09.Rep3
S,S,0.394,0.606,163,2,Fold09.Rep3
S,S,0.47,0.53,170,2,Fold09.Rep3
N,S,0.766,0.234,173,2,Fold09.Rep3
N,S,0.972,0.028,196,2,Fold09.Rep3
S,S,0.394,0.606,197,2,Fold09.Rep3
S,S,0.046,0.954,201,2,Fold09.Rep3
N,N,0.62,0.38,17,2,Fold10.Rep3
S,N,0.266,0.734,18,2,Fold10.Rep3
N,N,0.506,0.494,26,2,Fold10.Rep3
S,N,0.306,0.694,37,2,Fold10.Rep3
N,N,0.89,0.11,56,2,Fold10.Rep3
N,N,0.506,0.494,58,2,Fold10.Rep3
N,N,0.62,0.38,83,2,Fold10.Rep3
S,N,0.266,0.734,92,2,Fold10.Rep3
S,N,0.306,0.694,98,2,Fold10.Rep3
N,N,0.636,0.364,101,2,Fold10.Rep3
S,N,0.016,0.984,102,2,Fold10.Rep3
N,S,0.816,0.184,120,2,Fold10.Rep3
N,S,0.666,0.334,121,2,Fold10.Rep3
N,S,0.816,0.184,135,2,Fold10.Rep3
N,S,0.816,0.184,149,2,Fold10.Rep3
N,S,0.636,0.364,151,2,Fold10.Rep3
S,S,0.266,0.734,169,2,Fold10.Rep3
N,S,0.816,0.184,178,2,Fold10.Rep3
N,S,0.996,0.004,198,2,Fold10.Rep3
N,S,0.506,0.494,205,2,Fold10.Rep3
