pred,obs,E,S
S,S,0.456,0.544
E,S,0.648,0.352
S,S,0.162,0.838
S,S,0.232,0.768
S,S,0.182,0.818
E,S,0.614,0.386
S,S,0.444,0.556
E,S,0.594,0.406
E,S,0.678,0.322
E,E,0.766,0.234
S,E,0.484,0.516
E,E,1,0
E,E,0.998,0.002
E,E,1,0
E,E,0.998,0.002
E,E,1,0
E,E,0.646,0.354
E,E,1,0
E,E,0.858,0.142
E,E,0.926,0.074
E,E,0.99,0.01
E,E,0.998,0.002
E,E,0.902,0.098
E,E,0.998,0.002
E,E,0.786,0.214
E,E,0.73,0.27
E,E,0.758,0.242
E,E,0.958,0.042
E,E,0.94,0.06
E,E,0.536,0.464
E,E,0.982,0.018
E,E,0.9,0.1
E,E,0.988,0.012
E,E,0.874,0.126
E,E,0.914,0.086
E,E,0.918,0.082
E,E,1,0
E,E,0.998,0.002
E,E,0.882,0.118
E,E,0.874,0.126
E,E,0.898,0.102
