pred,obs,N,S,rowIndex,mtry,Resample
S,N,0.08,0.92,18,2,Fold01.Rep1
N,N,0.602,0.398,28,2,Fold01.Rep1
N,N,1,0,31,2,Fold01.Rep1
N,N,0.602,0.398,39,2,Fold01.Rep1
N,N,0.93,0.07,42,2,Fold01.Rep1
N,N,0.954,0.046,46,2,Fold01.Rep1
N,N,0.954,0.046,52,2,Fold01.Rep1
N,N,0.602,0.398,54,2,Fold01.Rep1
N,N,1,0,55,2,Fold01.Rep1
N,N,1,0,58,2,Fold01.Rep1
N,N,1,0,64,2,Fold01.Rep1
N,N,0.954,0.046,99,2,Fold01.Rep1
S,N,0.08,0.92,109,2,Fold01.Rep1
N,N,1,0,114,2,Fold01.Rep1
N,N,0.954,0.046,134,2,Fold01.Rep1
N,S,0.854,0.146,156,2,Fold01.Rep1
N,S,0.854,0.146,160,2,Fold01.Rep1
N,S,1,0,165,2,Fold01.Rep1
N,S,1,0,173,2,Fold01.Rep1
N,S,0.946,0.054,176,2,Fold01.Rep1
N,S,1,0,177,2,Fold01.Rep1
S,N,0.392,0.608,5,2,Fold02.Rep1
N,N,1,0,10,2,Fold02.Rep1
N,N,0.906,0.094,26,2,Fold02.Rep1
N,N,1,0,33,2,Fold02.Rep1
N,N,1,0,36,2,Fold02.Rep1
N,N,0.802,0.198,74,2,Fold02.Rep1
N,N,1,0,82,2,Fold02.Rep1
N,N,0.906,0.094,89,2,Fold02.Rep1
S,N,0.392,0.608,90,2,Fold02.Rep1
N,N,1,0,94,2,Fold02.Rep1
N,N,0.97,0.03,95,2,Fold02.Rep1
N,N,0.996,0.004,102,2,Fold02.Rep1
N,N,0.802,0.198,110,2,Fold02.Rep1
N,N,0.97,0.03,127,2,Fold02.Rep1
S,N,0.392,0.608,137,2,Fold02.Rep1
N,S,0.97,0.03,147,2,Fold02.Rep1
N,S,0.906,0.094,166,2,Fold02.Rep1
S,S,0.292,0.708,181,2,Fold02.Rep1
N,S,0.802,0.198,191,2,Fold02.Rep1
S,S,0.292,0.708,201,2,Fold02.Rep1
N,S,1,0,204,2,Fold02.Rep1
N,N,0.99,0.01,1,2,Fold03.Rep1
S,N,0.09,0.91,6,2,Fold03.Rep1
N,N,0.926,0.074,7,2,Fold03.Rep1
N,N,0.998,0.002,8,2,Fold03.Rep1
N,N,0.816,0.184,23,2,Fold03.Rep1
S,N,0.09,0.91,37,2,Fold03.Rep1
N,N,1,0,62,2,Fold03.Rep1
N,N,1,0,79,2,Fold03.Rep1
N,N,0.998,0.002,86,2,Fold03.Rep1
N,N,0.816,0.184,100,2,Fold03.Rep1
N,N,0.996,0.004,101,2,Fold03.Rep1
N,N,1,0,129,2,Fold03.Rep1
N,N,0.816,0.184,133,2,Fold03.Rep1
N,N,1,0,136,2,Fold03.Rep1
N,N,0.926,0.074,143,2,Fold03.Rep1
N,S,0.996,0.004,153,2,Fold03.Rep1
N,S,0.986,0.014,154,2,Fold03.Rep1
N,S,1,0,159,2,Fold03.Rep1
S,S,0.09,0.91,162,2,Fold03.Rep1
S,S,0.09,0.91,186,2,Fold03.Rep1
N,S,1,0,199,2,Fold03.Rep1
N,N,1,0,4,2,Fold04.Rep1
N,N,1,0,9,2,Fold04.Rep1
S,N,0.186,0.814,16,2,Fold04.Rep1
N,N,1,0,30,2,Fold04.Rep1
N,N,0.844,0.156,45,2,Fold04.Rep1
N,N,0.92,0.08,53,2,Fold04.Rep1
N,N,0.948,0.052,65,2,Fold04.Rep1
N,N,0.996,0.004,84,2,Fold04.Rep1
N,N,0.954,0.046,85,2,Fold04.Rep1
N,N,0.99,0.01,91,2,Fold04.Rep1
N,N,1,0,93,2,Fold04.Rep1
N,N,1,0,98,2,Fold04.Rep1
N,N,0.92,0.08,124,2,Fold04.Rep1
N,N,0.576,0.424,130,2,Fold04.Rep1
N,N,0.99,0.01,142,2,Fold04.Rep1
N,S,1,0,152,2,Fold04.Rep1
S,S,0.186,0.814,167,2,Fold04.Rep1
N,S,0.954,0.046,170,2,Fold04.Rep1
N,S,0.954,0.046,179,2,Fold04.Rep1
S,S,0.186,0.814,188,2,Fold04.Rep1
N,S,0.844,0.156,203,2,Fold04.Rep1
N,N,0.806,0.194,14,2,Fold05.Rep1
N,N,0.806,0.194,29,2,Fold05.Rep1
N,N,0.98,0.02,32,2,Fold05.Rep1
N,N,0.984,0.016,40,2,Fold05.Rep1
N,N,0.938,0.062,44,2,Fold05.Rep1
N,N,1,0,48,2,Fold05.Rep1
N,N,1,0,51,2,Fold05.Rep1
S,N,0.138,0.862,56,2,Fold05.Rep1
N,N,1,0,66,2,Fold05.Rep1
N,N,0.806,0.194,68,2,Fold05.Rep1
N,N,1,0,71,2,Fold05.Rep1
N,N,0.806,0.194,78,2,Fold05.Rep1
N,N,0.922,0.078,92,2,Fold05.Rep1
N,N,0.98,0.02,96,2,Fold05.Rep1
N,S,0.984,0.016,151,2,Fold05.Rep1
N,S,0.768,0.232,168,2,Fold05.Rep1
N,S,0.924,0.076,169,2,Fold05.Rep1
N,S,1,0,174,2,Fold05.Rep1
S,S,0.138,0.862,202,2,Fold05.Rep1
N,S,0.924,0.076,205,2,Fold05.Rep1
N,N,1,0,3,2,Fold06.Rep1
